"id_dt_ini","id_dt_fin","id_cnpj","reg","uf","id_sped","ind_mov_st","vl_sld_cred_ant_st","vl_sld_cred_ant_st_sped","diff_sld_cred_ant_st","vl_devol_st","vl_devol_st_sped","diff_vl_devol_st","vl_ressarc_st","vl_out_cred_st","vl_aj_creditos_st","total_ajuste_credtios_st","vl_retencao_st","vl_retencao_st_sped","diff_vl_retencao_st","vl_out_deb_st","vl_aj_debitos_st","total_ajuste_debitos_st","vl_deducoes_st","deb_esp_st","vl_apurado_periodo_st","apuracao_icms_st","id_importation","id_tenant","dt_created","dt_updated","year","month","day","hour","minute","rown"
"01/09/2023","30/09/2023","09017661000528",E200,SE,abfs://land@paulatorrestaxboardlake.dfs.core.windows.net/554008700462410d9ae1f515f59dcb0c_speds/09017661000528-129717943110-20230901-20230930-0-5829C58E1A2450CD1A3C2F73805F70EB79CA4C05-SPED-EFD.txt6601c26ae4d1f54a569c6d53,Sem operações com ST,0.0,,,0.0,,,"0",0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,"6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:50",2024,3,25,18,49,1
"01/03/2023","31/03/2023","35068230000177",E200,DF,abfs://land@paulatorrestaxboardlake.dfs.core.windows.net/554008700462410d9ae1f515f59dcb0c_speds/35068230000177-083604472-20230301-20230331-0-9E19C7EB9641182CF45E4EF617CAFCD4F4BC67B9-SPED-EFD.txt6601c26ae4d1f54a569c6d53,Sem operações com ST,0.0,,,0.0,,,"0",0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,"6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:50",2024,3,25,18,49,1
"01/12/2023","31/12/2023","35068230000177",E200,SP,abfs://land@paulatorrestaxboardlake.dfs.core.windows.net/554008700462410d9ae1f515f59dcb0c_speds/35068230000177-083604472-20231201-20231231-0-5500ED5DC46F9E9E6052DD615C612ABDDA4E0641-SPED-EFD.txt6601c26ae4d1f54a569c6d53,Sem operações com ST,0.0,,,0.0,,,"0",0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,"6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:50",2024,3,25,18,49,1
"01/09/2023","30/09/2023","09017661000951",E200,BA,abfs://land@paulatorrestaxboardlake.dfs.core.windows.net/554008700462410d9ae1f515f59dcb0c_speds/09017661000951-0813440900231-20230901-20230930-0-1CD1036059A2121C9CF9927EEA66F32DF7ADD8E2-SPED-EFD.txt6601c26ae4d1f54a569c6d53,Sem operações com ST,0.0,,,0.0,,,"0",0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,"6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:50",2024,3,25,18,49,1
"01/01/2023","31/01/2023","09017661001095",E200,RS,abfs://land@paulatorrestaxboardlake.dfs.core.windows.net/554008700462410d9ae1f515f59dcb0c_speds/09017661001095-9094528302-20230101-20230131-0-326C30796A396F090E446B6B41F80F922555600C-SPED-EFD.txt6601c26ae4d1f54a569c6d53,Sem operações com ST,0.0,,,0.0,,,"0",0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,"6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:50",2024,3,25,18,49,1
"01/05/2023","31/05/2023","09017661000609",E200,TO,abfs://land@paulatorrestaxboardlake.dfs.core.windows.net/554008700462410d9ae1f515f59dcb0c_speds/09017661000609-131189904110-20230501-20230531-0-8B5AC83A97041DD139D57416C70016A1A5FBD066-SPED-EFD.txt6601c26ae4d1f54a569c6d53,Sem operações com ST,0.0,,,0.0,,,"0",0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,"6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:50",2024,3,25,18,49,1
"01/06/2023","30/06/2023","09017661001176",E200,PA,abfs://land@paulatorrestaxboardlake.dfs.core.windows.net/554008700462410d9ae1f515f59dcb0c_speds/09017661001176-653205145118-20230601-20230630-0-70A5D2F6CDBFDF854ABF833FE57BDAE62FAEF4B1-SPED-EFD.txt6601c26ae4d1f54a569c6d53,Sem operações com ST,0.0,,,0.0,,,"0",0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,"6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:50",2024,3,25,18,49,1
"01/05/2023","31/05/2023","09017661000366",E200,MA,abfs://land@paulatorrestaxboardlake.dfs.core.windows.net/554008700462410d9ae1f515f59dcb0c_speds/09017661000366-122535868114-20230501-20230531-0-5906641D657BC22337258F9245FB7317DEAA7ED0-SPED-EFD.txt6601c26ae4d1f54a569c6d53,Sem operações com ST,0.0,,,0.0,,,"0",0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,"6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:50",2024,3,25,18,49,1
"01/08/2023","31/08/2023","35068230000258",E200,TO,abfs://land@paulatorrestaxboardlake.dfs.core.windows.net/554008700462410d9ae1f515f59dcb0c_speds/35068230000258-083609237-20230801-20230831-0-9BAC045F382536E9A2F5331EB52CC3011AA1959E-SPED-EFD.txt6601c26ae4d1f54a569c6d53,Sem operações com ST,0.0,,,0.0,,,"0",0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,"6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:50",2024,3,25,18,49,1
"01/04/2023","30/04/2023","35068230000339",E200,CE,abfs://land@paulatorrestaxboardlake.dfs.core.windows.net/554008700462410d9ae1f515f59dcb0c_speds/35068230000339-1310169877-20230401-20230430-1-23B551DBC54032AAC7A7CAC32BA27C807B538FCF-SPED-EFD.txt6601c26ae4d1f54a569c6d53,Sem operações com ST,0.0,,,0.0,,,"0",0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,"6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:50",2024,3,25,18,49,1
