order_id,delivery_time (days)
6d5f4523e4747ceffd3e84b2d9bab9fc,1.765786
02d2fbf1c9a20d04ceab86eb736fa22e,1.8047839
dae91c4dced184f9ead8277e600b44a2,1.701283
9d138733c51598bbcd3ea81678facf91,1.6230694
e7666167df3a8011289e3980afcacf13,1.8765092
b54fa43051fefab27d1f06b71938062c,1.7095457
dfeb385531b47a17e24ab43992ebf15e,1.5602938
1091b52a01d06a2bf1e97ca70cb2d75a,1.6384587
71359a053b02802c8974b69049cec60a,1.5038298
e7db8e72d33cbb4d2898d27b0310c124,1.5796567
dc83ed7ce1de08f74d849b222fe7b6ec,1.7293048
5be9af49f40fc3bbb1c3c8aa5b7d8ee9,1.8578095
fcb2af36166db4e5d7ac2491544cc1e9,1.8121206
ab086c339b4c94681a4758724c5ceecc,1.7093172
d80799e45b1938827bfd57d8ee9b3c50,3.1881845
a1119e009d1d91655405307f4c095818,1.5510677
695809f787c7cd226121bda23bd48199,2.9113002
273ff9150ef1e7b66d89ac10f7cc7899,1.7578055
9cb8098ab14d7f21e32786b85f62f5e2,3.102431
666e09695a076343da1fb9643f68adc7,1.6895974
3413eb8515318f34dd2984e1b4b301fd,1.719685
a853cdd8003fb8372f09eefdb15720f8,1.8794367
f39f43e47399ff2c70a6ff3130215663,1.859241
b2569f05d40ea199f859f0d9cdc7b9d6,1.5347943
519e8e134cd15d39544f56d9ff932d3e,1.7481816
7e96e25e50e633b64d640a69f6084dbe,1.8012141
314fc0121ed16cbe4f7979e96f3768ef,1.5917834
3d15ff4099fc39d6eed5f8c1200521b7,1.7771208
631e74e14da293fc4c6a8f02253aac6e,1.700637
76605cf925ed0ddb1629abe46ecf0fe7,1.6586988
83bb596248fd091d99fa8d5aadde8fa7,1.6858435
334aeb42957ddc27b1e35631aa2d120e,1.5796431
4d458ae78b6be4d04c94a3e7372ca386,2.959216
fea4df6f0bd3b6a85cfe1555dad66203,1.617425
de8323147a3358b9c4720ae5e8ef668b,1.6287211
