order_id,delivery_time (days)
00010242fe8c5a6d1ba2dd792cb16214,6.8442416
00018f77f2f0320c557190d7a144bdd3,6.781853
000229ec398224ef6ca0657da4fc703e,6.8453975
00024acbcdf0a6daa1e931b038114c75,1.716472
00042b26cf59d7ce69dfabb4e55b4fd9,6.8444753
00048cc3ae777c65dbb7d2a0634bc1ea,7.001657
00054e8431b9d7675808bcb819fb4a32,6.8989606
000576fe39319847cbb9d288c5617fa6,2.9052458
0005a1a1728c9d785b8e2b08b904576c,6.843952
0005f50442cb953dcd1d21e1fb923495,1.6354232
00061f2a7bc09da83e415a52dc8a4af1,6.9550405
00063b381e2406b52ad429470734ebd5,1.6372758
0006ec9db01a64e59a68b2c340bf65a7,1.6289768
0008288aa423d2a3f00fcb17cd7d8719,6.83881
0008288aa423d2a3f00fcb17cd7d8719,6.846164
0009792311464db532ff765bf7b182ae,1.5890589
0009c9a17f916a706d71784483a5d643,6.749428
000aed2e25dbad2f9ddb70584c5a2ded,1.5952662
000c3e6612759851cc3cbb4b83257986,6.893397
000e562887b1f2006d75e0be9558292e,6.8878703
000e63d38ae8c00bbcb5a30573b99628,6.976914
000e906b789b55f64edcb1f84030f90d,6.807896
000f25f4d72195062c040b12dce9a18a,6.800338
001021efaa8636c29475e7734483457d,6.966082
0010b2e5201cc5f1ae7e9c6cc8f5bd00,6.8465133
00119ff934e539cf26f92b9ef0cdfed8,6.8083196
0011d82c4b53e22e84023405fb467e57,6.740948
00125cb692d04887809806618a2a145f,6.856585
00130c0eee84a3d909e75bc08c5c3ca1,1.731561
0013503b13da1eac686219390b7d641b,6.8531003
00137e170939bba5a3134e2386413108,6.735679
001427c0ec99cf8af737bd88e92fd444,6.8868823
00143d0f86d6fbd9f9b38ab440ac16f5,6.9404435
00143d0f86d6fbd9f9b38ab440ac16f5,6.961329
00143d0f86d6fbd9f9b38ab440ac16f5,6.9802876
0014ae671de39511f7575066200733b7,6.7990737
0015ebb40fb17286bea51d4607c4733c,6.804741
00169e31ef4b29deaae414f9a5e95929,6.9545827
0016dfedd97fc2950e388d2971d718c7,6.9080906
0017afd5076e074a48f1f1a4c7bac9c5,6.763162
001862358bf858722e1e2ae000cfed8b,6.8261466
0019c29108428acffd089c36103c9440,6.9095254
001ab0a7578dd66cd4b0a71f5b6e1e41,6.857387
001ab0a7578dd66cd4b0a71f5b6e1e41,6.853711
001ab0a7578dd66cd4b0a71f5b6e1e41,6.8627
001ac194d4a326a6fa99b581e9a3d963,2.9614801
001b76dd48a5b1eee3e87778daa40df8,6.9621468
001c85b5f68d2be0cb0797afc9e8ce9a,6.861204
001d8f0e34a38c37f7dba2a37d4eba8b,6.959968
001d8f0e34a38c37f7dba2a37d4eba8b,6.9831166
001daeb0eddc45b999bad0801ad9d273,6.978162
001dbc16dc51075e987543d23a0507c7,6.890978
001e7ba991be1b19605ca0316e7130f9,6.951363
001e7cf2ad6bef3ade12ebc56ceaf0f3,1.7028828
0020262c8a370bd5a174ea6a2a267321,6.915818
0020a222f55eb79a372d0efee3cca688,6.9713902
002175704e8b209f61b9ad5cfd92b60e,4.1635246
00229e4e43f7a7e0b9dd819ad43268d3,6.82586
0025081dcf9330f9a5052ae82c6ce396,6.950109
00254baeb6c932b0a8aeead91fbd02b5,1.5532894
00259a44fcad3fc0474329e925d14fc3,6.8491344
0025c5d1a8ca53a240ec2634bb4492ea,1.594967
002611a77fe03d076285fd4ca95db77c,6.9357424
002691433f09002ac9ca0c4e8dbb8ead,6.8257313
0026a368634b6e6f34f33b1499773a30,6.764794
00275bce676303c3bfd7292aefdfa223,6.763104
00276d5c3491fbf55305e26891040df9,6.8625975
002834535f7a609a5c68266f173fa59e,7.4418607
0028de0ca693a1bb26448916a81105cc,3.1037006
002955b0acc63d04f6724a31967e82bd,6.8556857
0029c5db35ef291ce99d1262012e7daa,5.0141783
0029f17cf0e7640c5cb6825af681303f,1.6464471
002af7fa9eb99d1456bceb6a13d6fc0b,6.899721
002b430ff89b3a24c31a1170acbbedea,6.845238
002b4e6fa42cd4a22cc86abc18fe9c05,7.0016837
002c9def9c9b951b1bec6d50753c9891,2.9717188
002c9def9c9b951b1bec6d50753c9891,2.9765618
002d040018d12a3853c059f7f23ab5b1,6.920946
002f16b7bc4530031b7d90f791b12d8a,1.5907422
002f19a65a2ddd70a090297872e6d64e,6.9009867
002f98c0f7efd42638ed6100ca699b42,6.711936
002f98c0f7efd42638ed6100ca699b42,6.9657426
0030d783f979fbc5981e75613b057344,6.9077725
0030ff924c38549807645976adeef2c0,6.800637
00310b0c75bb13015ec4d82d341865a4,6.947525
00324b3eda39ba5ecce3945823e3594c,2.9082956
0032d07457ae9c806c79368d7d9ce96b,6.8584714
003324c70b19a16798817b2b3640e721,6.779503
003324c70b19a16798817b2b3640e721,6.775827
00335b686d693c7d72deeb12f8e89227,6.986259
00335f75ea6a4455b524a8dd177067f5,1.5755106
00337fe25a3780b3424d9ad7c5a4b35e,6.868003
00337fe25a3780b3424d9ad7c5a4b35e,6.9675508
003423b755b562962a6225a8de40d12e,2.8663719
00345f338696283410b7977d2e3efc89,1.638121
0035246a40f520710769010f752e7507,6.861204
0035c0b07126fe9c24a325216fb96064,6.8224
