order_id,order_item_id,price,freight_value,seller_city,seller_state,product_weight_g,customer_city,customer_state,geolocation_city_customer,geolocation_state_customer,payment_value,product_volume,geolocation_city_seller,geolocation_state_seller,distancia_km,purchase_to_approval_days,categoria_principal
00010242fe8c5a6d1ba2dd792cb16214,1,58.9,13.29,volta redonda,SP,650.0,,,,,,3528.0,volta redonda,RJ,,,Esportes e Lazer
00018f77f2f0320c557190d7a144bdd3,1,239.9,19.93,sao paulo,SP,30000.0,,,,,,60000.0,sao paulo,SP,,,Outros e Indústria
000229ec398224ef6ca0657da4fc703e,1,199.0,17.87,borda da mata,MG,3050.0,,,,,,14157.0,borda da mata,MG,,,Casa e Decoração
00024acbcdf0a6daa1e931b038114c75,1,12.99,12.79,franca,SP,200.0,atibaia,,atibaia,SP,25.78,2400.0,franca,SP,301.9517533288266,0.0,Beleza e Saúde
00042b26cf59d7ce69dfabb4e55b4fd9,1,199.9,18.14,loanda,PR,3750.0,,,,,,42000.0,loanda,PR,,,Ferramentas e Construção
00048cc3ae777c65dbb7d2a0634bc1ea,1,21.9,12.69,ribeirao preto,SP,450.0,,,,,,2880.0,ribeirao preto,SP,,,
00054e8431b9d7675808bcb819fb4a32,1,19.9,11.85,sao paulo,SP,200.0,,,,,,2700.0,sao paulo,SP,,,Tecnologia e Eletrônicos
000576fe39319847cbb9d288c5617fa6,1,810.0,70.75,presidente prudente,SP,13805.0,,,praia grande,SP,880.75,118125.0,presidente prudente,SP,547.4726645825033,1.0,Ferramentas e Construção
0005a1a1728c9d785b8e2b08b904576c,1,145.95,11.65,sao paulo,SP,2000.0,,,,,,5760.0,sao paulo,SP,,,Beleza e Saúde
0005f50442cb953dcd1d21e1fb923495,1,53.99,11.4,sao paulo,SP,850.0,,,jandira,SP,65.39,1827.0,sao paulo,SP,33.15982801648292,0.0,"Livros, Música e Entretenimento"
00061f2a7bc09da83e415a52dc8a4af1,1,59.99,8.88,santo andre,SP,950.0,,,,,,17500.0,santo andre,SP,,,Beleza e Saúde
00063b381e2406b52ad429470734ebd5,1,45.0,12.98,sao paulo,SP,200.0,monte alto,,monte alto,SP,57.98,2816.0,sao paulo,SP,318.3080706033972,0.0,Moda e Acessórios
0006ec9db01a64e59a68b2c340bf65a7,1,74.0,23.32,ibitinga,SP,1383.0,rio de janeiro,RJ,rio de janeiro,RJ,97.32,20000.0,ibitinga,SP,566.1240882842975,0.0,Casa e Decoração
0008288aa423d2a3f00fcb17cd7d8719,1,49.9,13.37,sao jose do rio preto,SP,1650.0,,,,,,19800.0,sao jose do rio preto,SP,,,Ferramentas e Construção
0008288aa423d2a3f00fcb17cd7d8719,2,49.9,13.37,sao jose do rio preto,SP,1650.0,,,,,,19800.0,sao jose do rio preto,SP,,,Ferramentas e Construção
0009792311464db532ff765bf7b182ae,1,99.9,27.65,cascavel,PR,1050.0,alfenas,MG,alfenas,MG,127.55,24000.0,cascavel,PR,866.0619570457455,0.0,Esportes e Lazer
0009c9a17f916a706d71784483a5d643,1,639.0,11.34,guarulhos,SP,200.0,,,,,,960.0,guarulhos,SP,,,Tecnologia e Eletrônicos
000aed2e25dbad2f9ddb70584c5a2ded,1,144.0,8.77,campinas,SP,468.0,,,santa barbara doeste,SP,152.77,7866.0,campinas,SP,37.667359275403356,0.0,Beleza e Saúde
