order_id,order_item_id,price,freight_value,product_weight_g,delivery_time,geolocation_city_customer,geolocation_state_customer,payment_value,product_volume,geolocation_city_seller,geolocation_state_seller,distancia_km,purchase_to_approval_days,approval_to_carrier_days,carrier_to_customer_days,categoria_principal
00010242fe8c5a6d1ba2dd792cb16214,1,58.9,13.29,650.0,7.61,campos dos goytacazes,RJ,72.19,3528.0,volta redonda,RJ,301.00566428484706,0.0,6.0,1.0,Esportes e Lazer
00018f77f2f0320c557190d7a144bdd3,1,239.9,19.93,30000.0,16.22,santa fe do sul,SP,259.83,60000.0,sao paulo,SP,589.2741403035304,0.0,8.0,8.0,Outros e Indústria
000229ec398224ef6ca0657da4fc703e,1,199.0,17.87,3050.0,7.95,par de minas,MG,216.87,14157.0,borda da mata,MG,312.4950460620627,0.0,1.0,6.0,Casa e Decoração
00042b26cf59d7ce69dfabb4e55b4fd9,1,199.9,18.14,3750.0,25.11,varzea paulista,SP,218.04,42000.0,loanda,PR,646.2217882287338,0.0,11.0,13.0,Ferramentas e Construção
00048cc3ae777c65dbb7d2a0634bc1ea,1,21.9,12.69,450.0,6.67,uberaba,MG,34.59,2880.0,ribeirao preto,SP,161.59774611177875,1.0,0.0,5.0,
00054e8431b9d7675808bcb819fb4a32,1,19.9,11.85,200.0,8.42,guararapes,SP,31.75,2700.0,sao paulo,SP,484.11817185854676,0.0,1.0,6.0,Tecnologia e Eletrônicos
0005a1a1728c9d785b8e2b08b904576c,1,145.95,11.65,2000.0,9.98,santos,SP,157.6,5760.0,sao paulo,SP,52.44049449192436,0.0,7.0,1.0,Beleza e Saúde
00061f2a7bc09da83e415a52dc8a4af1,1,59.99,8.88,950.0,4.08,piracicaba,SP,68.87,17500.0,santo andre,SP,154.94832731970567,0.0,2.0,1.0,Beleza e Saúde
0008288aa423d2a3f00fcb17cd7d8719,1,49.9,13.37,1650.0,12.66,jandira,SP,126.54,19800.0,sao jose do rio preto,SP,397.4854358657519,1.0,5.0,5.0,Ferramentas e Construção
0008288aa423d2a3f00fcb17cd7d8719,2,49.9,13.37,1650.0,12.66,jandira,SP,126.54,19800.0,sao jose do rio preto,SP,397.4854358657519,1.0,5.0,5.0,Ferramentas e Construção
